Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
ESO373-007,9,32,45.4,-,33,14,44,3.44,68,19,0,-13.8,25.2,7.76,8.16,7.69,7.69,556,0.8,ESO373-008,0.8,0.39,5.30792E+19,2.87512E+38,6.26414E+59
ESO373-008,9,33,21.5,-,33,2,0,18.53,90,93,0.85,-18.5,24.1,9.78,10.27,9.04,9.04,619,,,,,2.85918E+20,3.70388E+40,9.79068E+61
CGCG 035-007,9,34,44.9,+,6,25,32,4.14,59,45,0.03,-15.6,23.8,8.48,8.99,8.17,8.17,366,-1.6,NGC3169,-1.1,,6.38802E+19,1.94382E+39,1.09191E+60
LeoT,9,34,53.4,+,17,3,5,0.26,51,3,0,-6.7,26.6,4.94,5.49,5.63,5.63,-97,0.7,Milky Way,0.8,1.72,4.0118E+18,6.14691E+35,2.70462E+56
Antlia 2,9,35,32.8,-,36,46,2,6.44,63,3,0,-7.9,32.5,6.11,6.77,,,-19,2.2,Milky Way,2.3,1.73,9.93692E+19,1.17127E+37,4.11002E+60
LV J0939-2507,9,39,35,-,25,7,35,1.58,65,26,0,-14.4,23,7.99,8.1,7.25,7.25,449,-0.9,NGC2784,-0.6,-1.77,2.43794E+19,2.50413E+38,6.06957E+58
KISSB023,9,40,12.7,+,29,35,29,4.67,90,33,0,-15.2,24.4,8.35,8.78,8.28,8.28,474,-0.3,NGC2968,-0.1,1.42,7.20581E+19,1.19855E+39,1.56725E+60
KDG058,9,40,27,+,0,2,33,4.61,44,10,0,-14.9,24.8,8.19,7.73,8.13,8.13,1674,-2.7,NGC2775,-2.2,,7.11323E+19,1.06821E+38,1.50761E+60
HolmI,9,40,32.3,+,71,11,11,5.54,40,12,0,-14.6,25.4,8.05,7.97,8.05,8.05,291,1.3,MESSIER081,1.5,1.89,8.54822E+19,1.85634E+38,2.61647E+60
UGC05186,9,42,59.8,+,33,15,52,3.61,90,16,0,-13.7,25.4,7.71,8.05,7.49,7.49,496,-0.9,NGC2683,-0.6,-1.38,5.57023E+19,2.23181E+38,7.23949E+59
AGC198691,9,43,32.4,+,33,26,58,0.49,48,15,0,-10.6,24.1,6.5,7.09,7.26,7.26,464,-1.5,NGC3184,-1.1,,7.5607E+18,2.44713E+37,1.8104E+57
IC0559,9,44,43.9,+,9,36,55,3.66,48,39,0,-15,24.1,8.25,8.81,8,8,370,-1.1,NGC2903,-0.7,-3.29,5.64738E+19,1.28427E+39,7.54449E+59
UGC05209,9,45,4.2,+,32,14,18,2.5,18,32,0,-14.1,24.2,7.88,8.48,7.53,7.53,479,-1,NGC2683,-0.7,-0.65,3.8575E+19,6.00699E+38,2.4044E+59
RKK1610,9,45,24.8,-,48,8,29,3.92,54,33,0,-15,24.2,8.27,8.69,8.15,8.15,566,-1.4,NGC2640,-0.9,,6.04856E+19,9.74219E+38,9.26925E+59
NGC2976,9,47,15.6,+,67,54,49,6.35,64,44,0.04,-17.2,23.2,9.44,9.16,8.05,8.05,142,3,MESSIER081,3.1,1.9,9.79805E+19,2.87512E+39,3.9401E+60
AGC191803,9,48,5.9,+,7,7,45,3.12,76,24,0,-14.5,24.3,8.04,8.32,7.97,7.97,352,-1,PGC028627,-0.5,0.11,4.81416E+19,4.15582E+38,4.67359E+59
Antlia B,9,48,56.1,-,25,59,24,0.78,52,3,0,-9.6,26.2,6.09,5.96,5.45,5.45,82,0.8,NGC3109,0.9,-0.56,1.20354E+19,1.81408E+36,7.30248E+57
KK78,9,50,19.6,+,31,27,24,1.29,62,3,0,-12.6,24.3,7.29,6.08,7.73,7.73,479,4.1,DDO064,4.1,-0.39,1.99047E+19,2.39142E+36,3.30336E+58
DDO064,9,50,22.4,+,31,29,15,6.83,90,37,0,-15.8,24.7,8.41,9.02,8.61,8.61,461,3,KK78,3,-0.56,1.05387E+20,2.08284E+39,4.90285E+60
UGC05288,9,51,17.2,+,7,49,38,4.91,60,47,0.04,-15.9,23.9,8.85,9.1,8.74,8.74,378,-1.4,NGC3379,-0.9,,7.57613E+19,2.50413E+39,1.82151E+60
NGC3037,9,51,24,-,27,0,40,4.17,30,79,0.05,-16.9,22.6,8.9,9.49,8.52,8.52,591,0,NGC2997,0.1,1.6,6.43431E+19,6.14691E+39,1.11582E+60
BK3N,9,53,48.5,+,68,58,9,0.41,41,4,0,-9.7,24.7,6.12,5.83,7.29,7.29,101,1,MESSIER081,1.1,1.9,6.3263E+18,1.3448E+36,1.06057E+57
LV J0954+3620,9,54,50.6,+,36,20,2,1.02,55,15,0,-12.2,24.2,7.13,7.43,6.86,6.86,470,-0.9,NGC3184,-0.6,-1.33,1.57386E+19,5.35373E+37,1.633E+58
KKSG15,9,55,10.5,-,6,16,12,3.56,90,23,0,-15,24.1,8.24,8.33,7.77,7.77,554,0.9,NGC3115,0.9,1.72,5.49308E+19,4.25262E+38,6.94283E+59
MESSIER081,9,55,33.5,+,69,4,0,31.93,62,226,0.55,-21,22.9,10.95,11.28,9.46,9.46,104,2.7,MESSIER082,2.8,1.51,4.9268E+20,3.79015E+41,5.00937E+62
MESSIER082,9,55,53.9,+,69,40,57,13.48,69,69,0.26,-19.7,22.3,10.59,9.87,8.97,8.97,328,3.1,MESSIER081,3.1,1.78,2.07996E+20,1.47454E+40,3.76926E+61
LV J0956-0929,9,56,37.6,-,9,29,11,2.67,49,28,0,-14.3,24.2,7.95,8.39,6.87,6.87,378,0.8,NGC3115,0.8,1.72,4.11981E+19,4.88266E+38,2.92901E+59
DDO068C,9,56,41.1,+,29,0,51,1.66,60,3,0,-13.2,24.2,7.53,6.21,7.44,7.44,429,1.1,DDO068,1.1,-0.52,2.56138E+19,3.22594E+36,7.03899E+58
DDO068,9,56,45.7,+,28,49,30,7.23,90,32,0,-15.8,24.8,8.4,8.94,8.95,8.95,429,0.3,DDO068C,0.3,-0.75,1.11559E+20,1.73243E+39,5.81569E+60
A0952+69,9,57,29,+,69,16,20,2.2,69,21,0,-11.5,26.5,6.87,8.06,7.02,7.02,242,1.9,MESSIER081,2.2,1.9,3.3946E+19,2.28379E+38,1.63853E+59
HolmIX,9,57,32.4,+,69,2,35,3.15,41,31,0,-13.8,25.1,7.75,8.56,8.45,8.45,192,2.8,NGC3077,2.9,1.89,4.86045E+19,7.22199E+38,4.8097E+59
AGC718245,9,58,16.2,+,21,5,20,2.15,37,4,0,-13.4,24.6,7.6,6.64,7.09,7.09,536,-1,NGC2903,-0.6,,3.31745E+19,8.68274E+36,1.52933E+59
[CKT2009]d0958+66,9,58,48.5,+,66,50,59,1,64,3,0,-12.2,24.1,7.12,5.96,5.87,5.87,221,2.1,MESSIER081,2.3,1.89,1.543E+19,1.81408E+36,1.53881E+58
AGC198712,9,59,10.3,+,36,2,23,0.88,90,13,0,-11.8,24.2,6.97,7.23,7.15,7.15,515,-0.8,NGC3184,-0.6,-0.79,1.35784E+19,3.37798E+37,1.04866E+58
LeoA,9,59,26.4,+,30,44,47,1.24,61,3,0,-11.5,25.3,6.86,6.07,6.97,6.97,-40,0,Milky Way,0.2,1.35,1.91332E+19,2.33699E+36,2.93394E+58
SexB,10,0,0.1,+,5,19,56,2.55,53,18,0,-14.1,24.3,7.83,7.97,7.71,7.71,110,-0.9,Milky Way,-0.5,-0.62,3.93465E+19,1.85634E+38,2.55157E+59
LV J1000+3032,10,0,36.5,+,30,32,10,0.87,51,3,0,-12.1,23.9,7.11,6.02,6.68,6.68,436,-1.4,NGC2903,-0.8,-0.33,1.34241E+19,2.08284E+36,1.01331E+58
MCG -01-26-009,10,1,33.6,-,6,31,30,3.24,44,21,0,-14,24.9,7.85,8.21,7.71,7.71,510,1.8,NGC3115,1.8,1.72,4.99932E+19,3.22594E+38,5.23385E+59
KKSG17,10,1,38.4,-,8,14,56,4.77,90,20,0,-14.8,24.9,8.19,8.36,7.74,7.74,203,,,,,7.36011E+19,4.55676E+38,1.6701E+60
UGCA193,10,2,36.2,-,6,0,43,11.63,90,53,0.4,-15.9,25.7,8.54,9.59,8.58,8.58,427,,,,,1.79451E+20,7.7385E+39,2.42061E+61
NGC3109,10,3,7.2,-,26,9,36,7.73,83,51,0.22,-15.8,25,8.58,9.37,8.38,8.38,110,-0.3,Antlia,-0.1,-1.22,1.19274E+20,4.66291E+39,7.10763E+60
NGC3077,10,3,21,+,68,44,2,7.65,38,49,0.02,-17.6,23.1,9.57,9.34,8.8,8.8,159,2.3,MESSIER081,2.4,1.88,1.1804E+20,4.35168E+39,6.88923E+60
ESO499-038,10,3,50.2,-,26,36,46,3.08,67,36,0,-15.1,23.7,8.27,8.67,8.53,8.53,591,-1,NGC2997,-0.6,,4.75244E+19,9.30372E+38,4.49613E+59
NGC3104,10,3,57.4,+,40,45,25,16.35,57,53,0.08,-17.2,25.2,9.23,9.73,9.04,9.04,594,-2,NGC2964,-1.5,-2.22,2.52281E+20,1.06821E+40,6.72573E+61
Antlia,10,4,4,-,27,19,55,0.84,47,3,0,-9.8,26.1,6.5,6.06,5.95,5.95,66,1.7,NGC3109,1.8,-0.57,1.29612E+19,2.28379E+36,9.12062E+57
UGC05427,10,4,41,+,29,21,59,4.56,49,41,0.01,-15.5,24.1,8.54,8.95,7.87,7.87,427,-1.6,NGC3184,-1,-0.66,7.03608E+19,1.77279E+39,1.45909E+60
KDG063,10,5,7.3,+,66,33,18,2.27,34,4,0,-12.8,25.3,8.06,6.72,6.95,6.95,0,2.2,MESSIER081,2.4,1.91,3.50261E+19,1.04389E+37,1.79996E+59
NGC3115,10,5,14,-,7,43,7,24.04,90,107,0.51,-20.8,22.5,10.95,10.5,8.75,8.75,439,2.3,KDG065,2.6,0.26,3.70937E+20,6.29009E+40,2.13791E+62
UGC05423,10,5,30.6,+,70,21,52,2.93,55,21,0,-15.7,23,8.42,8.19,7.86,7.86,496,-0.5,[CKT2009]d1009+70,-0.4,-0.44,4.52099E+19,3.08075E+38,3.8707E+59
Segue 1,10,7,3.2,+,16,4,25,0.05,90,3,0,-0.7,29,3.24,4.54,< 1.12,1.12,67,4.3,Milky Way,4.3,1.75,7.715E+17,6.89694E+34,1.92352E+54
UGC05456,10,7,19.7,+,10,21,44,5.02,72,28,0,-16.5,23.4,8.71,8.66,8.26,8.26,360,-0.9,NGC3368,-0.4,,7.74586E+19,9.09194E+38,1.94669E+60
KKH58,10,7,22.7,+,38,58,11,6.63,62,41,0.01,-15.8,24.6,8.67,9.11,8.47,8.47,569,-1.7,PGC2125269,-1.2,-0.46,1.02301E+20,2.56246E+39,4.48463E+60
LeoI,10,8,26.9,+,12,18,29,0.77,42,4,0,-11.1,24.7,7.38,6.09,< 3.58,3.58,125,1.3,Milky Way,1.4,1.73,1.18811E+19,2.44713E+36,7.0252E+57
AGC208477,10,9,19.8,+,27,56,44,0.66,54,3,0,-11.8,23.7,6.95,5.87,6.94,6.94,505,,,,,1.01838E+19,1.47454E+36,4.42403E+57
PGC1099440,10,9,32.5,-,2,10,58,2.28,58,51,0.06,-14.5,23.6,8.04,8.85,7.69,7.69,519,,,,,3.51804E+19,1.40817E+39,1.82386E+59
SexA,10,11,0.8,-,4,41,34,2.56,38,30,0,-14.1,24.2,7.57,8.44,7.9,7.9,94,-0.9,Milky Way,-0.5,-0.59,3.95008E+19,5.47844E+38,2.5817E+59
UGC05497,10,12,48.4,+,64,6,27,0.97,48,3,0,-12.3,23.9,7.19,6.11,6.02,6.02,267,1.4,MESSIER081,1.5,1.89,1.49671E+19,2.56246E+36,1.40443E+58
SexDSph,10,13,3,-,1,36,52,0.83,64,3,0,-8.7,27.2,6.42,5.87,< 4.01,4.01,9,2.7,Milky Way,2.7,1.75,1.28069E+19,1.47454E+36,8.79874E+57
LV J1017+2922,10,17,26.5,+,29,22,11,2.03,45,29,0,-13.7,24.2,7.71,8.29,7.35,7.35,381,-1.2,NGC3344,-0.8,-0.45,3.13229E+19,3.87844E+38,1.28728E+59
NGC3184,10,18,17,+,41,25,28,24.27,22,149,0.05,-20,23.3,10.52,10.8,9.28,9.28,588,0.6,LV J1018+4109,0.8,-0.61,3.74486E+20,1.25504E+41,2.19986E+62
UGC05571,10,19,42.4,+,52,3,56,2.8,90,21,0,-13.1,25.5,7.49,8.17,8.09,8.09,716,-0.9,NGC2841,-0.6,,4.3204E+19,2.94209E+38,3.37801E+59
HS117,10,21,25.2,+,71,6,58,1.9,62,3,0,-11.6,26.1,6.89,6.25,5.01,5.01,116,1.4,MESSIER081,1.7,1.9,2.9317E+19,3.53718E+36,1.05547E+59
LV J1021+0054,10,21,38.9,+,0,54,0,1.09,49,22,0,-12.4,24.1,7.21,7.78,7.33,7.33,495,-0.8,NGC3115,-0.5,,1.68187E+19,1.19855E+38,1.99281E+58
LeoP,10,21,45.1,+,18,5,17,0.28,68,3,0,-9.1,24.4,5.89,5.37,5.73,5.73,135,-1.1,Milky Way,-0.7,-1.24,4.3204E+18,4.66291E+35,3.37801E+56
AGC731448,10,23,45,+,27,6,39,1.41,56,18,0,-13.5,23.5,7.66,7.71,7.35,7.35,460,-0.5,NGC3344,-0.3,1.08,2.17563E+19,1.02013E+38,4.31364E+58
KKSG19,10,24,28.3,-,12,25,57,2.35,34,15,0,-13.7,24.5,7.74,7.81,7.87,7.87,373,,,,,3.62605E+19,1.28427E+38,1.99705E+59
NGC3239,10,25,4.9,+,17,9,49,14.99,53,87,0.19,-18.6,23.6,9.74,10.12,9.11,9.11,623,-0.5,NGC3368,0,-0.16,2.31296E+20,2.62214E+40,5.18312E+61
UGC05672,10,28,20.9,+,22,34,17,8.15,76,37,0,-15.3,25.6,8.63,9.11,8.14,8.14,428,-0.4,NGC3344,-0.2,1.08,1.25755E+20,2.56246E+39,8.33027E+60
IC2574,10,28,22.4,+,68,24,58,15.04,67,51,0.11,-16.8,25.4,9.06,9.65,9.04,9.04,183,1.5,MESSIER081,1.7,1.9,2.32067E+20,8.88498E+39,5.23516E+61
[CKT2009]d1028+70,10,28,39.7,+,70,14,1,0.81,45,4,0,-11.9,24,7.01,6.08,6.12,6.12,35,1.8,MESSIER081,2,1.9,1.24983E+19,2.39142E+36,8.17789E+57
AGC749315,10,29,6.4,+,26,54,38,0.31,34,17,0,-10.9,22.9,6.6,7.01,6.86,6.86,564,-0.2,NGC3344,-0.1,1.09,4.7833E+18,2.03543E+37,4.58428E+56
DDO082,10,30,35,+,70,37,10,3.95,63,6,0,-14.7,24.6,8.39,7.28,6.46,6.46,207,1.5,MESSIER081,1.7,1.9,6.09485E+19,3.79015E+37,9.4837E+59
LV J1030+0607,10,30,44.3,+,6,7,38,1.61,62,7,0,-12.8,24.6,7.36,6.94,7.16,7.16,458,-1.3,NGC3384,-0.7,,2.48423E+19,1.73243E+37,6.42191E+58
AGC731457,10,31,55.8,+,28,1,33,1.17,58,15,0,-13.4,23.2,7.62,7.5,7.21,7.21,380,-0.6,NGC3344,-0.5,-0.6,1.80531E+19,6.29009E+37,2.46459E+58
NGC3274,10,32,17.1,+,27,40,7,5.53,63,79,0.25,-16.7,23.4,8.83,9.6,8.76,8.76,465,-1,NGC3486,-0.7,-1.99,8.53279E+19,7.91875E+39,2.60233E+60
UMa I,10,34,48.8,+,51,56,6,0.5,90,3,0,-4.8,30,4.87,5.56,< 3.80,3.8,0,2.5,Milky Way,2.6,1.75,7.715E+18,7.22199E+35,1.92352E+57
AGC202248,10,34,56.1,+,11,29,32,2.41,48,36,0,-14.3,23.9,7.98,8.56,7.84,7.84,1020,-2.6,NGC4321,-2,,3.71863E+19,7.22199E+38,2.15396E+59
ESO501-023,10,35,23.2,-,24,45,15,10.8,38,44,0.01,-17.1,24.4,9.2,9.38,8.86,8.86,756,-1,ESO501-080,-0.5,-0.46,1.66644E+20,4.77152E+39,1.93846E+61
LeG03,10,35,48.8,+,8,28,47,5.87,79,31,0,-14.5,25.6,8.16,8.81,8.34,8.34,987,-2.6,UGC05923,-1.9,,9.05741E+19,1.28427E+39,3.11244E+60
NGC3299,10,36,23.8,+,12,42,27,7.35,40,76,0.08,-17,23.7,8.96,9.69,8.07,8.07,453,0.8,NGC3368,1.1,1.91,1.13411E+20,9.74219E+39,6.1101E+60
DDO083,10,36,43.3,+,31,32,48,6.36,90,46,0.07,-14.9,25.4,8.03,9.2,8.56,8.56,527,-1.3,NGC3344,-0.8,-1.09,9.81348E+19,3.15251E+39,3.95875E+60
AGC205165,10,37,4.8,+,15,20,15,2.24,48,8,0,-13.9,24.2,7.79,7.23,6.87,6.87,586,0.2,NGC3377,0.7,1.91,3.45632E+19,3.37798E+37,1.72954E+59
AGC200499,10,38,8,+,10,22,51,6.32,44,113,0.13,-17.9,22.5,9.5,9.97,9.06,9.06,1013,-2.8,NGC4321,-2.2,,9.75176E+19,1.85634E+40,3.88452E+60
AGC208397,10,38,58.1,+,3,52,27,0.51,62,12,0,-10.5,24.4,6.46,6.96,7.01,7.01,573,-0.4,NGC3521,0,0.23,7.8693E+18,1.81408E+37,2.04125E+57
UGC05797,10,39,25.2,+,1,43,7,3.82,33,36,0,-16,23.3,8.63,8.76,8,8,511,-0.2,NGC3521,0,0.58,5.89426E+19,1.14461E+39,8.57781E+59
LeG05,10,39,43.3,+,12,38,4,1.82,69,3,0,-13.4,24.2,7.62,6.18,6.31,6.31,629,1.3,NGC3368,1.7,2.1,2.80826E+19,3.01062E+36,9.27685E+58
LeG06,10,39,55.7,+,13,54,28,1.94,57,3,0,-11.9,25.8,7.03,6.3,6.85,6.85,863,0.8,NGC3368,1.2,1.91,2.99342E+19,3.96878E+36,1.12355E+59
AGC208399,10,40,10.7,+,4,54,32,1.68,32,18,0,-10.6,26.8,6.51,7.81,7.41,7.41,561,-0.5,NGC3521,0.1,-0.61,2.59224E+19,1.28427E+38,7.29649E+58
UGC05812,10,40,56.6,+,12,28,19,4.41,68,26,0,-14.7,24.9,8.23,8.53,7.6,7.6,857,1.5,NGC3368,1.7,2.1,6.80463E+19,6.73995E+38,1.31978E+60
FS04,10,42,0.3,+,12,20,6,3,64,14,0,-14.5,24.2,8.15,7.86,7.46,7.46,621,1.8,NGC3368,1.9,2.1,4.629E+19,1.44098E+38,4.1548E+59
DDO084,10,42,41.9,+,34,26,56,13.06,43,47,0.03,-16.4,25.5,8.84,9.53,8.97,8.97,592,-1.2,NGC3432,-0.7,0.42,2.01516E+20,6.73995E+39,3.4278E+61
ESO376-016,10,43,27.1,-,37,2,33,1.44,66,17,0,-13.9,23.2,7.82,7.7,8.04,8.04,366,-0.6,NGC3621,-0.4,-1.08,2.22192E+19,9.96912E+37,4.59488E+58
NGC3344,10,43,30.2,+,24,55,25,22.24,27,153,0.07,-19.7,23.3,10.33,10.78,9.44,9.44,500,-1.2,dw1042+2415,-0.6,-0.37,3.43163E+20,1.19855E+41,1.69274E+62
NGC3351,10,43,57.7,+,11,42,13,21.2,49,162,0.26,-19.8,23.2,10.65,10.81,8.94,8.94,623,0.8,NGC3368,1,1.87,3.27116E+20,1.28427E+41,1.4662E+62
LeG13,10,44,57.6,+,11,54,58,1.2,81,3,0,-12.4,24.3,7.22,5.95,6.72,6.72,718,3.2,NGC3351,3.2,2,1.8516E+19,1.77279E+36,2.65907E+58
LeG17,10,46,41.5,+,12,19,35,1.86,44,20,0,-13.3,24.4,8.26,7.92,7.55,7.55,880,1.3,NGC3379,1.5,2.05,2.86998E+19,1.65446E+38,9.90205E+58
NGC3368,10,46,45.8,+,11,49,11,27.25,49,210,0.31,-20.4,23.1,10.83,11.14,9.18,9.18,740,0.6,NGC3351,1,2,4.20468E+20,2.74572E+41,3.11377E+62
LeG18,10,46,53.3,+,12,44,40,2.39,47,19,0,-11.9,26.3,7.02,8.02,7.13,7.13,488,1.7,M96-DF7,2,2,3.68777E+19,2.08284E+38,2.10078E+59
KK94,10,46,57.3,+,12,59,54,1.74,35,21,0,-12.7,24.9,7.32,7.96,7.67,7.67,684,1.4,NGC3368,1.7,2,2.68482E+19,1.81408E+38,8.10651E+58
LeG21,10,47,0.8,+,12,57,35,0.86,47,3,0,-11.2,24.8,6.75,6.07,7.18,7.18,696,1.8,NGC3379,1.8,1.89,1.32698E+19,2.33699E+36,9.78772E+57
DDO088,10,47,22.3,+,14,4,13,6.41,20,50,0.01,-15.8,24.6,8.55,9.26,8.1,8.1,431,,,,,9.89063E+19,3.61957E+39,4.05285E+60
ESO318-013,10,47,41.9,-,38,51,15,3.55,90,22,0,-14.6,24.5,8.18,8.32,8.06,8.06,413,-0.7,NGC3621,-0.5,-1.43,5.47765E+19,4.15582E+38,6.88448E+59
BST1047+1156,10,47,43.8,+,11,56,1,2.24,35,4,0,-10.2,27.9,6.31,6.68,7.6,7.6,818,3.7,NGC3368,3.7,2.2,3.45632E+19,9.52043E+36,1.72954E+59
UGC05923,10,49,7.6,+,6,55,2,7.4,63,69,0.21,-17.5,23.2,9.35,9.61,8.49,8.49,534,-2.1,NGC3611,-1.6,,1.14182E+20,8.1032E+39,6.23565E+60
Willman1,10,49,21,+,51,3,0,0.04,74,3,0,-1.9,27.4,3.72,4.5,< 2.96,2.96,41,3.7,Milky Way,3.7,1.75,6.172E+17,6.29009E+34,9.84842E+53
DDO087,10,49,36.5,+,65,31,50,3.94,29,59,0.02,-14.6,24.7,8.43,9.21,8.35,8.35,468,,,,,6.07942E+19,3.22594E+39,9.41185E+59
MRK1265,10,49,40.4,+,22,50,19,0.77,61,10,0,-12.5,23.2,7.27,6.95,7.18,7.18,534,-1.2,NGC3486,-0.7,-0.42,1.18811E+19,1.77279E+37,7.0252E+57
AGC740112,10,49,55.4,+,23,4,6,1.22,62,15,0,-12.5,24.3,7.94,7.52,7.04,7.04,513,-0.4,NGC3344,-0.1,1.08,1.88246E+19,6.58653E+37,2.79425E+58
NGC3413,10,51,20.7,+,32,45,59,7.72,60,71,0.19,-17.5,23.3,9.34,9.66,8.83,8.83,589,-1.6,NGC3184,-1,-1.72,1.1912E+20,9.09194E+39,7.08008E+60
NGC3432,10,52,31.1,+,36,37,8,13.62,80,113,0.77,-19,23,9.64,10.31,9.51,9.51,587,,,,,2.10157E+20,4.06122E+40,3.88792E+61
KDG073,10,52,57.1,+,69,32,45,1.36,38,4,0,-10.9,26.1,6.6,6.42,6.56,6.56,263,1.2,MESSIER081,1.4,1.9,2.09848E+19,5.23187E+36,3.87082E+58
UGC06014,10,53,42.7,+,9,43,41,5.99,65,45,0.04,-16.3,23.9,8.78,9.15,8.22,8.22,972,-1.2,NGC3524,-0.7,-0.49,9.24257E+19,2.80968E+39,3.30725E+60
LSBC D640-12,10,55,57.1,+,12,20,20,1.34,72,3,0,-11.8,25.2,6.96,6.03,6.41,6.41,699,1,NGC3368,1.3,2.18,2.06762E+19,2.13136E+36,3.70255E+58
LSBC D640-13,10,56,14,+,12,0,37,1.73,65,10,0,-13.3,24.2,7.56,7.27,7.63,7.63,840,1.3,dw1055+11,1.5,2.03,2.66939E+19,3.70388E+37,7.96755E+58
HS1053+3624,10,56,40.4,+,36,8,28,1.32,74,27,0,-12.1,24.8,7.11,8.04,7.71,7.71,541,,,,,2.03676E+19,2.181E+38,3.53923E+58
ESO215-009,10,57,30.2,-,48,10,44,3.82,62,32,0,-13.6,25.6,7.78,8.65,8.85,8.85,290,-1.4,NGC5128,-0.8,,5.89426E+19,8.88498E+38,8.57781E+59
CGCG 095-078,10,58,2.2,+,19,30,19,2.84,75,35,0,-14.9,23.7,8.19,8.6,7.86,7.86,540,0.4,NGC3507,0.5,0.97,4.38212E+19,7.91875E+38,3.52486E+59
AGC205278,10,58,52.1,+,14,7,46,1.85,54,16,0,-13.1,24.5,7.51,7.74,7.06,7.06,548,1.2,NGC3489,1.3,1.94,2.85455E+19,1.09309E+38,9.7432E+58
NGC3489,11,0,18.6,+,13,54,4,13.23,62,55,0.09,-19.5,22.5,10.53,9.67,7.36,7.36,556,0.2,NGC3623,0.5,1.96,2.04139E+20,9.30372E+39,3.56341E+61
SMDG1103517+284120,11,3,51.7,+,28,41,20,1.36,38,8,0,-11.5,25.5,6.86,6.99,7.22,7.22,605,1.7,NGC3486,1.7,0.75,2.09848E+19,1.94382E+37,3.87082E+58
CGCG 066-109,11,4,26.5,+,11,45,18,3.02,90,18,0,-13.9,24.8,7.82,8.03,7.64,7.64,629,0.3,NGC3628,0.8,2.16,4.65986E+19,2.13136E+38,4.23845E+59
KKSG20,11,4,40.6,+,0,3,30,1.59,41,5,0,-13.2,24.1,7.55,6.67,6.14,6.14,636,1,NGC3521,1,1.84,2.45337E+19,9.30372E+36,6.18554E+58
MRK0036,11,4,58.5,+,29,8,22,1.72,58,19,0,-14.2,23.3,7.59,7.85,7.44,7.44,585,0.8,NGC3486,0.9,0.75,2.65396E+19,1.40817E+38,7.83018E+58
UGC06145,11,5,35,-,1,51,49,4.42,66,17,0,-13.9,25.6,7.83,8.2,7.97,7.97,546,1.5,NGC3521,1.5,1.84,6.82006E+19,3.15251E+38,1.32878E+60
NGC3521,11,5,48.6,-,0,2,9,34.92,66,228,0.66,-21.2,22.8,11.09,11.32,9.65,9.65,598,2.2,NGC3521sat,2.2,-0.19,5.38816E+20,4.15582E+41,6.55253E+62
NGC3556,11,11,31,+,55,40,26,13.86,80,144,0.87,-20.2,21.8,10.52,10.52,9.42,9.42,777,-0.6,Dw1108+5520,-0.2,-0.27,2.1386E+20,6.58653E+40,4.0971E+61
DDO092,11,13,26.1,+,53,35,42,3.98,44,26,0,-14.4,24.9,8.02,8.5,8.32,8.32,999,0.9,NGC3556,0.9,1.28,6.14114E+19,6.29009E+38,9.70143E+59
LeoII,11,13,29.2,+,22,9,17,0.88,36,4,0,-9.4,26.6,6.72,6.27,< 3.44,3.44,-8,1.4,Milky Way,1.4,1.73,1.35784E+19,3.70388E+36,1.04866E+58
AGC215282,11,14,25.2,+,15,32,2,2.35,79,6,0,-13.7,24.4,7.74,7,6.93,6.93,701,,,,,3.62605E+19,1.9891E+37,1.99705E+59
NGC3593,11,14,35.9,+,12,49,7,18.2,73,120,0.45,-18.9,23.8,10.43,10.48,8.33,8.33,492,1.3,NGC3627,1.5,2.08,2.80826E+20,6.00699E+40,9.27685E+61
AGC202256,11,14,45,+,12,38,51,1.27,61,19,0,-12.8,24.1,7.36,7.72,7.25,7.25,490,1.7,NGC3627,2,2.13,1.95961E+19,1.04389E+38,3.15208E+58
AGC740666,11,15,21.4,+,19,14,32,1.13,60,18,0,-12.3,24.3,7.15,7.65,6.75,6.75,568,-1.5,NGC3605,-1,-0.04,1.74359E+19,8.88498E+37,2.22035E+58
IC2684,11,17,1,+,13,5,59,2.47,47,5,0,-14,24.2,7.87,6.78,7.16,7.16,451,1.7,NGC3628,1.7,2.13,3.81121E+19,1.19855E+37,2.31887E+59
NGC3621,11,18,16.1,-,32,48,42,24.8,65,136,0.49,-19.8,23.5,10.34,10.72,9.62,9.62,440,-1.7,NGC5236,-1.1,-2.47,3.82664E+20,1.04389E+41,2.34715E+62
NGC3623,11,18,55.9,+,13,5,33,30.49,90,234,1.15,-21.4,22.3,11.1,11.29,8.63,8.63,666,0,NGC3627,0.3,1.37,4.70461E+20,3.87844E+41,4.36173E+62
AGC215286,11,19,12.7,+,14,19,37,3.62,67,8,0,-13.7,25.5,7.71,7.38,7.26,7.26,867,0.9,NGC3623,1.2,2.25,5.58566E+19,4.77152E+37,7.29982E+59
AGC202257,11,19,14.4,+,11,57,7,3.63,90,21,0,-13.9,25.2,7.8,8.28,8.03,8.03,719,0.9,NGC3623,1.2,2.23,5.60109E+19,3.79015E+38,7.36048E+59
NGC3627,11,20,15,+,12,59,29,33.07,66,189,0.59,-21.3,22.6,11.08,11.14,9.08,9.08,579,0.6,NGC3628,1.1,1.96,5.1027E+20,2.74572E+41,5.56531E+62
